Year;State;Percent in poverty;US GDP Growth in %
2021;Alabama;16;-2,77
2021;Alaska;11;-2,77
2021;Arizona;13;-2,77
2021;Arkansas;17;-2,77
2021;California;12;-2,77
2021;Colorado;8;-2,77
2021;Connecticut;8;-2,77
2021;Delaware;12;-2,77
2021;District of Columbia;14;-2,77
2021;Florida;13;-2,77
2021;Georgia;14;-2,77
2021;Hawaii;11;-2,77
2021;Idaho;9;-2,77
2021;Illinois;11;-2,77
2021;Indiana;10;-2,77
2021;Iowa;10;-2,77
2021;Kansas;7;-2,77
2021;Kentucky;16;-2,77
2021;Louisiana;18;-2,77
2021;Maine;9;-2,77
2021;Maryland;8;-2,77
2021;Massachusetts;8;-2,77
2021;Michigan;12;-2,77
2021;Minnesota;7;-2,77
2021;Mississippi;17;-2,77
2021;Missouri;12;-2,77
2021;Montana;11;-2,77
2021;Nebraska;8;-2,77
2021;Nevada;13;-2,77
2021;New Hampshire;7;-2,77
2021;New Jersey;8;-2,77
2021;New Mexico;18;-2,77
2021;New York;13;-2,77
2021;North Carolina;12;-2,77
2021;North Dakota;9;-2,77
2021;Ohio;12;-2,77
2021;Oklahoma;15;-2,77
2021;Oregon;9;-2,77
2021;Pennsylvania;11;-2,77
2021;Rhode Island;9;-2,77
2021;South Carolina;14;-2,77
2021;South Dakota;8;-2,77
2021;Tennessee;11;-2,77
2021;Texas;14;-2,77
2021;Utah;8;-2,77
2021;Vermont;8;-2,77
2021;Virginia;10;-2,77
2021;Washington;8;-2,77
2021;West Virginia;17;-2,77
2021;Wisconsin;9;-2,77
2021;Wyoming;9;-2,77
2020;Alabama;15;2,29
2020;Alaska;13;2,29
2020;Arizona;11;2,29
2020;Arkansas;14;2,29
2020;California;11;2,29
2020;Colorado;10;2,29
2020;Connecticut;11;2,29
2020;Delaware;11;2,29
2020;District of Columbia;17;2,29
2020;Florida;13;2,29
2020;Georgia;13;2,29
2020;Hawaii;11;2,29
2020;Idaho;9;2,29
2020;Illinois;8;2,29
2020;Indiana;12;2,29
2020;Iowa;9;2,29
2020;Kansas;9;2,29
2020;Kentucky;14;2,29
2020;Louisiana;16;2,29
2020;Maine;8;2,29
2020;Maryland;9;2,29
2020;Massachusetts;8;2,29
2020;Michigan;11;2,29
2020;Minnesota;9;2,29
2020;Mississippi;18;2,29
2020;Missouri;11;2,29
2020;Montana;11;2,29
2020;Nebraska;8;2,29
2020;Nevada;13;2,29
2020;New Hampshire;6;2,29
2020;New Jersey;8;2,29
2020;New Mexico;17;2,29
2020;New York;12;2,29
2020;North Carolina;14;2,29
2020;North Dakota;11;2,29
2020;Ohio;13;2,29
2020;Oklahoma;16;2,29
2020;Oregon;9;2,29
2020;Pennsylvania;11;2,29
2020;Rhode Island;9;2,29
2020;South Carolina;13;2,29
2020;South Dakota;12;2,29
2020;Tennessee;13;2,29
2020;Texas;14;2,29
2020;Utah;7;2,29
2020;Vermont;9;2,29
2020;Virginia;8;2,29
2020;Washington;8;2,29
2020;West Virginia;14;2,29
2020;Wisconsin;8;2,29
2020;Wyoming;10;2,29
2019;Alabama;13;2,95
2019;Alaska;10;2,95
2019;Arizona;10;2,95
2019;Arkansas;14;2,95
2019;California;10;2,95
2019;Colorado;9;2,95
2019;Connecticut;8;2,95
2019;Delaware;7;2,95
2019;District of Columbia;13;2,95
2019;Florida;12;2,95
2019;Georgia;12;2,95
2019;Hawaii;8;2,95
2019;Idaho;7;2,95
2019;Illinois;9;2,95
2019;Indiana;10;2,95
2019;Iowa;10;2,95
2019;Kansas;10;2,95
2019;Kentucky;14;2,95
2019;Louisiana;18;2,95
2019;Maine;10;2,95
2019;Maryland;7;2,95
2019;Massachusetts;8;2,95
2019;Michigan;10;2,95
2019;Minnesota;6;2,95
2019;Mississippi;19;2,95
2019;Missouri;9;2,95
2019;Montana;10;2,95
2019;Nebraska;9;2,95
2019;Nevada;10;2,95
2019;New Hampshire;4;2,95
2019;New Jersey;6;2,95
2019;New Mexico;15;2,95
2019;New York;13;2,95
2019;North Carolina;13;2,95
2019;North Dakota;8;2,95
2019;Ohio;12;2,95
2019;Oklahoma;11;2,95
2019;Oregon;8;2,95
2019;Pennsylvania;9;2,95
2019;Rhode Island;9;2,95
2019;South Carolina;15;2,95
2019;South Dakota;11;2,95
2019;Tennessee;13;2,95
2019;Texas;11;2,95
2019;Utah;7;2,95
2019;Vermont;9;2,95
2019;Virginia;9;2,95
2019;Washington;7;2,95
2019;West Virginia;14;2,95
2019;Wisconsin;8;2,95
2019;Wyoming;9;2,95
2018;Alabama;16;2,24
2018;Alaska;13;2,24
2018;Arizona;13;2,24
2018;Arkansas;16;2,24
2018;California;12;2,24
2018;Colorado;9;2,24
2018;Connecticut;10;2,24
2018;Delaware;7;2,24
2018;District of Columbia;15;2,24
2018;Florida;14;2,24
2018;Georgia;15;2,24
2018;Hawaii;9;2,24
2018;Idaho;12;2,24
2018;Illinois;10;2,24
2018;Indiana;12;2,24
2018;Iowa;9;2,24
